"","geoid","name","population","total_race","white","black","hispanic","mean_commute","total_edu","bachelors","graduate","poverty","median_income","gini","median_rent","median_home_value","total_employed","agriculture","construction","manufacturing","retail","information","finance","data_center","n_data_centers","pair_id","group","pop_diff","treated_geoid"
"111","35013","Doña Ana County, New Mexico",219870,219870,128908,4084,151592,84673,134344,23076,13243,48732,51232,0.4812,858,187400,92088,2784,2063,721,7036,3201,969,1,1,"35013","treated",NA,NA
"112","35049","Santa Fe County, New Mexico",154481,154481,104066,1592,78479,60130,116573,24664,15429,18751,70522,0.4861,1252,374200,71477,562,362,200,4654,1342,506,1,1,"35049","treated",NA,NA
"113","35061","Valencia County, New Mexico",76613,76613,48321,1121,46825,26569,52270,5911,4126,13292,56246,0.4526,873,184400,29129,525,409,116,2094,1112,239,1,6,"35061","treated",NA,NA
"114","36001","Albany County, New York",315041,315041,227136,38455,20613,139036,211845,47712,32349,37608,78829,0.4522,1196,263800,160947,532,499,33,5902,7063,1834,1,3,"36001","treated",NA,NA
"115","36029","Erie County, New York",951232,951232,717085,122787,56711,411122,671368,135561,80323,127623,68014,0.4633,984,197400,466028,1424,1092,332,20224,35722,6865,1,2,"36029","treated",NA,NA
"116","36061","New York County, New York",1645867,1645867,842952,230583,428297,691782,1267630,410095,242911,252677,99880,0.598,2024,1104000,888836,461,364,97,14380,12914,8163,1,5,"36061","treated",NA,NA
"117","36063","Niagara County, New York",212230,212230,180212,14059,7542,90871,152567,24288,13706,27046,65882,0.4428,823,163100,100397,539,485,54,5872,10539,1051,1,2,"36063","treated",NA,NA
"118","36067","Onondaga County, New York",472637,472637,362589,52245,25562,200304,324436,65547,40065,63066,71479,0.4622,1002,172800,225907,713,508,205,10575,13666,4684,1,1,"36067","treated",NA,NA
"119","36103","Suffolk County, New York",1524486,1524486,1111855,115996,313371,693798,1067104,225180,140324,97307,122498,0.4428,2113,490800,781818,2165,2118,47,54910,32224,14770,1,1,"36103","treated",NA,NA
"120","36119","Westchester County, New York",997904,997904,571908,145484,257189,411516,695064,177680,123967,83412,114651,0.5347,1796,619000,496164,850,808,42,27828,12552,7432,1,1,"36119","treated",NA,NA
"121","37027","Caldwell County, North Carolina",80716,80716,70428,3496,4967,33388,58269,7183,2172,10551,52362,0.4376,717,158300,36435,102,87,15,2425,5639,1527,1,1,"37027","treated",NA,NA
"122","37035","Catawba County, North Carolina",161011,161011,124060,13044,16667,69531,112106,19436,5683,20605,62070,0.4656,866,194000,75895,162,147,15,3416,13956,1579,1,4,"37035","treated",NA,NA
"123","37045","Cleveland County, North Carolina",99527,99527,72559,20110,4113,40022,68628,8415,3774,17926,50723,0.4637,794,155000,43294,298,255,43,2539,5978,451,1,1,"37045","treated",NA,NA
"124","37063","Durham County, North Carolina",325101,325101,154835,111478,44807,138733,225746,61099,34750,38202,74927,0.4632,1301,311300,171659,540,434,106,9548,7580,1733,1,3,"37063","treated",NA,NA
"125","37119","Mecklenburg County, North Carolina",1115403,1115403,539668,349308,155481,463622,755037,234207,95508,115796,79265,0.4923,1413,334700,603786,1107,919,188,36146,32097,10658,1,5,"37119","treated",NA,NA
"126","37161","Rutherford County, North Carolina",64680,64680,54235,5585,3250,24576,46748,6080,2570,11655,50512,0.4697,729,158200,26708,343,228,115,1836,3029,276,1,4,"37161","treated",NA,NA
"127","37179","Union County, North Carolina",240109,240109,178008,27360,28320,100409,154639,39363,15261,16125,95533,0.4464,1274,336600,120938,970,855,115,9019,10193,2770,1,1,"37179","treated",NA,NA
