ABV,STATE,FIP,NAME,FPL150,TEN,TEN-YBL6,TEN-BLD,TEN-HFL,UNITS,FREQUENCY,HINCP*UNITS,ELEP*UNITS,GASP*UNITS,FULP*UNITS,HINCP UNITS,ELEP UNITS,GASP UNITS,FULP UNITS,WHITE ALONE HISPANIC OR LATINO,WHITE ALONE NOT HISPANIC OR LATINO,BLACK OR AFRICAN AMERICAN ALONE,AMERICAN INDIAN AND ALASKA NATIVE ALONE,ASIAN ALONE,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,SOME OTHER RACE ALONE,TWO OR MORE RACES,LESS THAN HIGH SCHOOL,HIGH SCHOOL,ASSOCIATES OR SOME COLLEGE,BACHELORS OR HIGHER
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER 2 UNIT,OWNER FUEL OIL,0.7049456000000001,1.0,3909.1349226000007,496.054219074478,155.5537840565527,1006.597164794824,0.5501,0.5501,0.5501,0.5501,0.0,0.3035360373537953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272255258218495,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER 3-4 UNIT,OWNER BOTTLED GAS,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER 3-4 UNIT,OWNER FUEL OIL,0.00553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER 3-4 UNIT,OWNER NONE,0.0270596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER 3-4 UNIT,OWNER OTHER,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER 3-4 UNIT,OWNER UTILITY GAS,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER 3-4 UNIT,OWNER WOOD,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER MOBILE_TRAILER,OWNER BOTTLED GAS,3.101,5.0,26869.609300799995,2520.98581836787,15379.770125454763,3.445555555555556e-10,3.101,3.101,3.101,3.101,0.0,3.638780388956518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7193983812090147,0.0,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1960-79,OWNER MOBILE_TRAILER,OWNER FUEL OIL,1.3228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,33,33001,Belknap County,0-100%,OWN,OWNER 1980-99,OWNER 1 ATTACHED,OWNER BOTTLED GAS,1.1882000000000001,5.0,422.18088666,2484.843498735128,521.1271308010678,2.3764e-10,1.1882000000000001,1.1882000000000001,1.1882000000000001,1.1882000000000001,0.0,2.026578711773292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4848906212643528
